card_id,name,set,supertype,artist
bs-1,Alakazam,BS,Pokémon,Ken Sugimori
bs-10,Mewtwo,BS,Pokémon,Ken Sugimori
bs-100,Lightning Energy,BS,Energy,Keiji Kinebuchi
bs-101,Psychic Energy,BS,Energy,Keiji Kinebuchi
bs-102,Water Energy,BS,Energy,Keiji Kinebuchi
bs-11,Nidoking,BS,Pokémon,Ken Sugimori
bs-12,Ninetales,BS,Pokémon,Ken Sugimori
bs-13,Poliwrath,BS,Pokémon,Ken Sugimori
bs-14,Raichu,BS,Pokémon,Ken Sugimori
bs-15,Venusaur,BS,Pokémon,Mitsuhiro Arita
bs-16,Zapdos,BS,Pokémon,Ken Sugimori
bs-17,Beedrill,BS,Pokémon,Ken Sugimori
bs-18,Dragonair,BS,Pokémon,Mitsuhiro Arita
bs-19,Dugtrio,BS,Pokémon,Keiji Kinebuchi
bs-2,Blastoise,BS,Pokémon,Ken Sugimori
bs-20,Electabuzz,BS,Pokémon,Ken Sugimori
bs-21,Electrode,BS,Pokémon,Keiji Kinebuchi
bs-22,Pidgeotto,BS,Pokémon,Ken Sugimori
bs-23,Arcanine,BS,Pokémon,Ken Sugimori
bs-24,Charmeleon,BS,Pokémon,Mitsuhiro Arita
bs-25,Dewgong,BS,Pokémon,Mitsuhiro Arita
bs-26,Dratini,BS,Pokémon,Ken Sugimori
bs-27,Farfetch'd,BS,Pokémon,Ken Sugimori
bs-28,Growlithe,BS,Pokémon,Ken Sugimori
bs-29,Haunter,BS,Pokémon,Keiji Kinebuchi
bs-3,Chansey,BS,Pokémon,Ken Sugimori
bs-30,Ivysaur,BS,Pokémon,Ken Sugimori
bs-31,Jynx,BS,Pokémon,Ken Sugimori
bs-32,Kadabra,BS,Pokémon,Ken Sugimori
bs-33,Kakuna,BS,Pokémon,Keiji Kinebuchi
bs-34,Machoke,BS,Pokémon,Ken Sugimori
bs-35,Magikarp,BS,Pokémon,Mitsuhiro Arita
bs-36,Magmar,BS,Pokémon,Ken Sugimori
bs-37,Nidorino,BS,Pokémon,Mitsuhiro Arita
bs-38,Poliwhirl,BS,Pokémon,Ken Sugimori
bs-39,Porygon,BS,Pokémon,Tomoaki Imakuni
bs-4,Charizard,BS,Pokémon,Mitsuhiro Arita
bs-40,Raticate,BS,Pokémon,Ken Sugimori
bs-41,Seel,BS,Pokémon,Ken Sugimori
bs-42,Wartortle,BS,Pokémon,Ken Sugimori
bs-43,Abra,BS,Pokémon,Mitsuhiro Arita
bs-44,Bulbasaur,BS,Pokémon,Mitsuhiro Arita
bs-45,Caterpie,BS,Pokémon,Ken Sugimori
bs-46,Charmander,BS,Pokémon,Mitsuhiro Arita
bs-47,Diglett,BS,Pokémon,Keiji Kinebuchi
bs-48,Doduo,BS,Pokémon,Mitsuhiro Arita
bs-49,Drowzee,BS,Pokémon,Ken Sugimori
bs-5,Clefairy,BS,Pokémon,Ken Sugimori
bs-50,Gastly,BS,Pokémon,Keiji Kinebuchi
bs-51,Koffing,BS,Pokémon,Mitsuhiro Arita
bs-52,Machop,BS,Pokémon,Mitsuhiro Arita
bs-53,Magnemite,BS,Pokémon,Keiji Kinebuchi
bs-54,Metapod,BS,Pokémon,Ken Sugimori
bs-55,Nidoran ♂,BS,Pokémon,Ken Sugimori
bs-55-nidoran-m,Nidoran M,BS,,Ken Sugimori
bs-56,Onix,BS,Pokémon,Ken Sugimori
bs-57,Pidgey,BS,Pokémon,Ken Sugimori
bs-58,Pikachu,BS,Pokémon,Mitsuhiro Arita
bs-59,Poliwag,BS,Pokémon,Ken Sugimori
bs-6,Gyarados,BS,Pokémon,Mitsuhiro Arita
bs-60,Ponyta,BS,Pokémon,Ken Sugimori
bs-61,Rattata,BS,Pokémon,Mitsuhiro Arita
bs-62,Sandshrew,BS,Pokémon,Ken Sugimori
bs-63,Squirtle,BS,Pokémon,Mitsuhiro Arita
bs-64,Starmie,BS,Pokémon,Keiji Kinebuchi
bs-65,Staryu,BS,Pokémon,Keiji Kinebuchi
bs-66,Tangela,BS,Pokémon,Mitsuhiro Arita
bs-67,Voltorb,BS,Pokémon,Keiji Kinebuchi
bs-68,Vulpix,BS,Pokémon,Ken Sugimori
bs-69,Weedle,BS,Pokémon,Mitsuhiro Arita
bs-7,Hitmonchan,BS,Pokémon,Ken Sugimori
bs-70,Clefairy Doll,BS,Trainer,Keiji Kinebuchi
bs-71,Computer Search,BS,Trainer,Keiji Kinebuchi
bs-72,Devolution Spray,BS,Trainer,Keiji Kinebuchi
bs-73,Imposter Professor Oak,BS,,Ken Sugimori
bs-73-impostor-professor-oak,Impostor Professor Oak,BS,Trainer,Ken Sugimori
bs-74,Item Finder,BS,Trainer,Keiji Kinebuchi
bs-75,Lass,BS,Trainer,Ken Sugimori
bs-76,Pokemon Breeder,BS,,Ken Sugimori
bs-76-pok-mon-breeder,Pokémon Breeder,BS,Trainer,Ken Sugimori
bs-77,Pokémon Trader,BS,Trainer,Ken Sugimori
bs-77-pokemon-trader,Pokemon Trader,BS,,Ken Sugimori
bs-78,Scoop Up,BS,Trainer,Keiji Kinebuchi
bs-79,Super Energy Removal,BS,Trainer,Keiji Kinebuchi
bs-8,Machamp,BS,Pokémon,Ken Sugimori
bs-80,Defender,BS,Trainer,Keiji Kinebuchi
bs-81,Energy Retrieval,BS,Trainer,Keiji Kinebuchi
bs-82,Full Heal,BS,Trainer,Keiji Kinebuchi
bs-83,Maintenance,BS,Trainer,Keiji Kinebuchi
bs-84,PlusPower,BS,Trainer,Keiji Kinebuchi
bs-85,Pokemon Center,BS,,Keiji Kinebuchi
